query,accuracy
pos144591_147338_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/144552/1447_5250,33.33%
pos42472_43690_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/144784/10497_13714,0.00%
pos269039_275518_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/145214/3336_12181,75.00%
pos70965_66971_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/145776/0_8589,0%
pos24465_15641_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/145823/0_14063,0.00%
pos86748_84051_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/146901/5973_14824,0%
pos66602_61288_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/147197/0_6531,66.67%
pos219354_224849_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/147321/0_6467,100.00%
pos85318_78900_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/147443/0_6608,0%
pos29790_27930_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/147598/7044_10680,0%
pos278144_277494_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/147935/2967_10954,0%
pos253046_250353_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/148026/0_4699,0%
pos37206_37633_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/148343/4432_9785,0%
pos119690_116956_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/14865/8052_11210,0%
pos142534_140662_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/148729/7873_13892,0%
pos151718_148732_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/150410/11035_14113,0%
pos247907_246025_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/15/0_4988,0%
pos271285_275265_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/150845/0_5477,40.00%
pos280644_282827_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/15085/0_3028,50.00%
pos39811_37733_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/150947/0_3987,33.33%
pos84842_78490_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/151464/0_5835,0%
pos201479_204497_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/151810/0_3506,33.33%
pos97484_88104_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/1538/0_10063,0%
pos270290_266810_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/154156/6544_11338,0%
pos124449_119020_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/154357/0_5511,0%
pos181612_186701_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/156627/4076_12005,28.57%
pos43781_48048_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/156804/0_4336,100.00%
pos18720_22574_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/15705/0_3937,85.71%
pos153030_160794_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/158851/0_7942,62.50%
pos159869_163875_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/16059/2481_8234,60.00%
pos164215_160683_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/16150/6687_11782,0%
pos68909_73915_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/16985/0_7902,53.33%
pos28872_29463_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/17258/3059_8666,0.00%
pos17345_24465_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/17438/1367_14510,62.50%
pos164066_162427_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/18207/2675_6032,0%
pos77741_73190_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/19262/0_4686,0%
pos61289_66069_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/1943/0_6806,21.05%
pos140447_141653_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/19450/639_4492,15.38%
pos80603_77488_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/19600/0_3195,0%
pos271054_276002_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/1971/0_5146,33.33%
pos85222_82629_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/1983/0_3813,0%
pos83204_88597_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/20483/0_5558,70.00%
pos212346_209515_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/20644/0_4284,0%
pos79563_83816_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/20697/1740_6100,50.00%
pos245693_243973_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/20785/166_5443,0%
pos232342_229117_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/21198/0_3197,0%
pos263282_260965_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/22448/0_4299,0%
pos41500_40805_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/22522/7982_16312,0%
pos40946_44661_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/22887/0_3777,100.00%
pos200351_203772_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/23029/0_3705,50.00%
pos79771_82826_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/23148/0_3121,50.00%
pos66979_70770_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/23412/200_7629,33.33%
pos169236_179534_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/23431/4772_15992,40.00%
pos13463_8465_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/2402/4457_9759,0%
