read_id1,read_id2
pos45052_47919_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105161/0_3205,pos40248_48992_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/20115/0_11611
pos45052_47919_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105161/0_3205,pos40248_47119_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/3534/0_8715
pos45052_47919_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105161/0_3205,pos40250_47490_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/65216/268_9629
pos45052_47919_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105161/0_3205,pos43912_46819_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/58789/891_14439
pos45052_47919_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105161/0_3205,pos47712_53350_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/41218/2455_10752
pos45052_47919_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105161/0_3205,pos44231_46378_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/10003/1932_5942
pos45052_47919_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105161/0_3205,pos40403_46256_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/71023/389_9279
pos45052_47919_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105161/0_3205,pos43367_45920_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/80184/8651_12360
pos45052_47919_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105161/0_3205,pos37733_40148_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/27080/0_12255
pos231178_233868_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105690/0_3046,pos231158_234202_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/113303/0_3115
pos231178_233868_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105690/0_3046,pos230979_234713_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/48296/0_3765
pos231178_233868_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105690/0_3046,pos230738_233916_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/32681/0_3386
pos231178_233868_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105690/0_3046,pos230301_236851_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/111783/0_8557
pos231178_233868_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105690/0_3046,pos232214_236857_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/109513/0_8887
pos231178_233868_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/105690/0_3046,pos233208_236854_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/30148/0_9156
pos15722_20125_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/106906/198_5040,pos14129_21418_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/129674/0_9370
pos15722_20125_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/106906/198_5040,pos14127_23619_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/9701/0_12475
pos15722_20125_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/106906/198_5040,pos17235_23221_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/57757/0_6053
pos256365_265186_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/106924/0_12866,pos254650_260902_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/16274/0_11474
pos256365_265186_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/106924/0_12866,pos258086_261196_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/121241/0_3277
pos256365_265186_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/106924/0_12866,pos254650_260604_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/50683/0_6560
pos256365_265186_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/106924/0_12866,pos258062_260337_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/75696/0_3038
pos256365_265186_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/106924/0_12866,pos257203_260440_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/96286/0_3442
pos256365_265186_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/106924/0_12866,pos257703_261810_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/84851/0_10771
pos256365_265186_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/106924/0_12866,pos263564_268528_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/91791/0_5288
pos256365_265186_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/106924/0_12866,pos263729_268508_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/37307/0_10291
pos256365_265186_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/106924/0_12866,pos264061_270144_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/87583/0_6433
pos256365_265186_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/106924/0_12866,pos264452_270773_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/123756/0_6307
pos214343_211432_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/107022/980_7921,pos213438_209515_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/43129/0_5332
pos214343_211432_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/107022/980_7921,pos134147_136549_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/5331/355_5137
pos214343_211432_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/107022/980_7921,pos140158_134708_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/87374/0_6928
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,pos240313_243644_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/12637/0_12223
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,pos250153_253046_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/10651/0_9975
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,pos236837_243644_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/118019/0_13628
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,pos240570_243632_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/71779/0_7860
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,pos245793_247908_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/4157/0_6064
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,pos246128_247908_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/50715/0_3093
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,pos250153_253046_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/155182/690_11467
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,pos241974_243644_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/135256/1034_6127
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,pos243973_245570_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/62143/0_5639
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,pos245793_247908_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/67728/0_3512
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,pos243976_245691_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/22261/2653_5790
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,pos241218_243644_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/57530/0_6286
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,pos244315_245674_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/47378/0_5428
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,pos241542_243322_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/45637/348_4107
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,pos236837_243644_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/50837/2402_12559
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,pos236842_243644_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/20756/0_8473
pos245793_247908_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108402/0_5172,pos236837_240025_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/76392/3494_15195
pos235508_235859_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108515/13244_17541,pos233208_236854_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/30148/0_9156
pos235508_235859_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108515/13244_17541,pos236838_241072_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/52011/0_12406
pos235508_235859_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108515/13244_17541,pos233604_236857_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/127744/6789_12568
pos235508_235859_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108515/13244_17541,pos230534_235817_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/47815/0_9700
pos235508_235859_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108515/13244_17541,pos232564_236009_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/53204/0_9684
pos235508_235859_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/108515/13244_17541,pos232214_236857_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/109513/0_8887
pos95403_101166_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110596/403_8928,pos95098_103128_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/48751/0_8225
pos95403_101166_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110596/403_8928,pos92797_99112_m131001_013033_42158_c100519712550000001823080809271441_s1_p0/141019/640_8484
pos95403_101166_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110596/403_8928,pos95267_98516_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/45558/0_3378
pos95403_101166_m130930_231120_42158_c100519712550000001823080809271440_s1_p0/110596/403_8928,pos93514_98270_m131001_034946_42158_c100519712550000001823080809271442_s1_p0/25104/0_4550
